skill_python,skill_javascript,skill_react,skill_nodejs,skill_mongodb,skill_design,skill_testing,skill_devops,skill_ml,skill_java,role_PM,role_Developer,role_Designer,role_QA,role_BusinessAnalyst,availability_overlap,team_size,avg_skill_level,skill_diversity,roles_covered,max_skill_gap,workload_balance_score,success_score
2,2,2,2,2,5,2,3,2,2,1,1,1,1,1,0.5640012762489764,5,2.4,10,5,2.158,1.775,79.26
5,4,4,4,4,2,2,4,2,2,1,1,1,1,1,0.9670993929375868,5,3.3,10,5,0.215,0.276,100.0
1,5,4,2,2,1,3,3,2,1,1,0,0,1,1,0.8925349752475698,3,2.4,7,3,0.538,0.827,86.63
4,4,3,5,2,1,3,3,2,1,1,1,1,1,0,0.5250730940376321,4,2.8,8,4,1.824,0.93,86.44
4,2,2,4,4,5,5,2,2,2,1,1,1,1,1,0.42406485087449075,5,3.2,10,5,2.034,1.692,99.61
4,2,2,3,4,2,4,4,1,2,1,1,1,1,0,0.902441280977291,4,2.8,9,4,0.74,1.336,92.53
4,4,4,5,4,5,2,4,2,2,0,1,1,1,0,0.48046588679164803,6,3.6,10,3,1.758,0.82,100.0
5,1,2,3,2,5,2,3,2,1,1,1,1,1,0,0.6505363043561947,4,2.6,8,4,2.058,1.305,79.73
5,3,4,5,4,2,2,5,2,2,1,1,1,1,1,0.8734399155057861,5,3.4,10,5,0.278,0.789,100.0
4,2,2,3,3,2,5,3,1,2,1,1,1,1,1,0.6403344529355928,5,2.7,9,5,0.781,0.837,95.85
2,2,2,2,2,4,5,4,2,2,1,1,0,0,1,0.43684055670740285,3,2.7,10,3,2.039,0.428,75.62
2,5,4,2,2,2,1,3,1,2,1,1,1,0,1,0.8643336758113076,4,2.4,8,4,0.511,1.957,79.73
1,5,5,1,2,2,4,2,2,2,1,1,1,1,1,0.9492534017375347,5,2.6,8,5,1.792,1.338,100.0
2,2,2,2,2,3,5,5,2,2,1,1,1,1,1,0.987501007422491,5,2.7,10,5,1.822,0.85,80.39
5,2,1,5,4,3,5,2,1,2,1,1,1,1,1,0.9710952681803537,5,3.0,8,5,0.121,1.412,100.0
2,2,2,2,2,2,3,5,2,2,1,1,1,1,1,0.5704390200562273,5,2.4,10,5,1.085,0.783,87.71
1,5,5,2,2,3,5,3,1,2,0,1,1,1,1,0.36340534097480753,4,2.9,8,4,0.678,0.876,98.07
3,3,5,5,2,3,4,5,2,2,0,1,1,1,0,0.7702979320298471,6,3.4,10,3,2.882,0.742,92.2
4,4,4,3,2,4,2,5,2,2,1,1,1,1,1,0.8743899578479024,5,3.2,10,5,0.722,0.722,100.0
3,1,2,5,3,2,5,1,1,2,0,0,1,1,1,0.3568078002967295,3,2.5,7,3,0.047,0.954,76.39
2,3,5,2,2,3,4,2,2,1,1,0,1,1,1,0.48529819743367614,4,2.6,9,4,2.74,0.28,82.3
2,4,5,2,2,5,2,5,2,2,1,0,1,1,1,0.4403937299250878,6,3.1,10,4,0.556,0.928,100.0
5,1,2,4,2,5,2,1,2,1,1,0,1,1,1,0.913674697126192,4,2.5,7,4,1.582,1.49,88.92
4,5,3,4,3,2,2,5,2,2,1,1,0,1,1,0.5679482139461789,4,3.2,10,4,2.94,1.767,88.01
2,5,5,1,2,4,2,2,2,1,0,1,0,1,1,0.45114735330188616,3,2.6,8,3,1.594,1.559,92.49
2,4,3,2,2,5,2,5,2,2,1,1,1,1,0,0.8576002108618839,6,2.9,10,4,0.782,0.307,100.0
2,4,5,2,2,5,2,2,2,2,0,1,1,0,1,0.6127871896899069,3,2.8,10,3,1.227,0.173,96.17
2,5,5,2,2,4,4,1,2,2,0,1,1,0,1,0.6154035245206171,3,2.9,9,3,0.543,0.434,91.07
5,2,2,3,2,4,2,5,1,2,1,1,1,1,1,0.9899347710584054,5,2.8,9,5,2.955,1.812,93.53
2,2,2,2,1,2,3,4,1,1,1,1,1,1,0,0.7245964346368008,4,2.0,7,4,1.334,0.886,79.44
2,2,2,2,1,5,4,3,2,2,1,1,1,0,0,0.6074249592441543,3,2.5,9,3,1.932,1.221,79.72
5,2,2,4,4,2,3,1,2,2,0,0,1,1,1,0.9794971128373491,3,2.7,9,3,1.651,0.156,71.83
5,5,5,5,4,5,2,2,1,2,1,1,1,0,1,0.7555562128024157,6,3.6,9,4,0.348,1.77,100.0
2,3,4,2,2,4,3,5,2,1,1,1,1,1,1,0.6828914513047527,6,2.8,9,5,0.44,0.673,100.0
4,1,2,4,2,0,2,3,2,2,1,1,0,0,1,0.5729226282108263,3,2.2,8,3,1.592,1.953,57.7
1,4,5,2,2,2,5,4,2,2,1,1,1,1,1,0.3098873134337768,5,2.9,9,5,2.783,0.529,86.32
2,4,5,2,2,5,2,3,2,2,1,1,1,1,1,0.8594560451613387,5,2.9,10,5,1.807,1.714,96.13
4,5,4,3,4,2,5,5,2,2,1,1,1,0,0,0.7640471160758445,6,3.6,10,3,0.356,1.874,100.0
5,2,2,4,4,2,2,5,2,1,1,1,1,0,1,0.8239601268251668,4,2.9,9,4,2.629,0.273,82.28
5,4,4,5,4,4,3,2,2,2,1,0,1,1,1,0.4316729596849459,6,3.5,10,4,1.017,1.408,100.0
5,5,5,5,3,5,1,2,1,2,1,1,1,1,1,0.356194124282826,5,3.4,8,5,0.788,1.972,98.98
5,3,5,3,2,3,2,5,2,2,1,1,1,1,0,0.6422288110294694,4,3.2,10,4,1.502,1.978,98.3
2,5,4,1,1,3,3,5,2,2,1,1,1,1,1,0.480332195986947,5,2.8,8,5,0.568,0.248,100.0
3,2,2,3,4,3,5,5,2,2,1,0,1,1,0,0.998367174637045,6,3.1,10,3,0.481,0.405,99.78
5,2,0,4,2,3,4,2,2,2,1,1,1,0,1,0.6638275617870901,4,2.6,9,4,1.105,0.101,91.64
3,1,2,4,2,2,5,5,2,2,0,1,1,1,1,0.9582459887767263,4,2.8,9,4,2.811,1.065,79.58
5,2,2,4,4,5,4,2,2,2,1,1,1,1,1,0.6494961798819034,6,3.2,10,5,1.931,1.9,97.38
3,2,2,4,3,5,4,2,2,2,1,1,1,1,1,0.837362722889119,5,2.9,10,5,2.679,1.305,98.76
5,3,5,4,4,5,2,5,2,2,1,1,1,1,1,0.6475954280030312,5,3.7,10,5,2.663,1.26,100.0
2,1,1,2,0,5,5,2,2,2,1,0,1,0,1,0.5760981507008163,3,2.2,7,3,1.696,0.212,72.8
3,5,5,5,4,1,0,4,2,2,1,0,1,1,1,0.9640525275413345,4,3.1,8,4,1.144,1.751,94.23
4,5,4,3,2,2,5,4,2,2,1,1,1,1,1,0.301895091573051,5,3.3,10,5,0.896,1.11,100.0
5,2,2,4,4,2,5,5,2,1,1,1,0,1,1,0.5483077248375852,6,3.2,9,4,1.946,1.028,91.73
5,2,2,5,2,4,2,2,2,1,1,1,1,1,1,0.4977740809006977,5,2.7,9,5,1.79,0.869,92.69
4,4,5,4,4,5,2,2,2,2,1,1,1,1,1,0.6021767568239171,5,3.4,10,5,2.243,0.916,100.0
3,4,3,4,2,1,4,2,2,1,1,1,1,1,1,0.44280920258782863,5,2.6,8,5,1.869,0.84,86.01
3,2,2,5,2,2,5,4,1,2,0,1,1,1,1,0.7160060996096743,4,2.8,9,4,0.623,1.126,87.39
2,3,3,2,2,3,3,4,2,2,1,1,0,1,1,0.6540072896178873,6,2.6,10,4,2.459,1.308,78.03
4,2,2,5,4,3,2,3,2,1,1,0,0,1,1,0.8804547988421834,3,2.8,9,3,1.782,0.49,73.97
3,2,1,4,2,1,2,3,2,2,1,1,0,0,1,0.901776210869391,3,2.2,8,3,1.807,0.756,68.85
5,1,2,5,4,2,2,4,2,2,1,1,0,1,1,0.47113308974008766,4,2.9,9,4,2.648,0.748,72.4
3,2,2,5,4,5,3,3,2,2,1,1,1,1,0,0.7524989266407975,6,3.1,10,4,0.56,1.875,93.52
2,2,2,2,2,5,1,2,1,2,0,1,1,1,1,0.5635771129576073,4,2.1,8,4,0.91,0.346,84.06
5,3,3,3,4,5,2,2,2,2,1,0,1,0,1,0.8089076341729489,6,3.1,10,3,2.592,0.287,99.55
2,4,3,2,2,2,5,3,1,2,1,0,0,1,1,0.7908895649765503,3,2.6,9,3,2.372,1.18,83.29
4,2,2,5,4,4,3,5,2,2,1,1,1,1,1,0.5161239419521034,6,3.3,10,5,1.696,0.086,89.06
3,5,4,5,4,4,1,0,2,2,1,1,0,1,0,0.3659609051122702,3,3.0,8,3,0.572,1.277,86.56
4,2,1,3,4,2,4,2,2,2,1,0,0,1,1,0.3500951500433662,3,2.6,9,3,2.8,1.874,69.56
1,3,5,2,2,5,2,3,2,1,1,0,1,0,1,0.5302605553335449,6,2.6,8,3,1.486,0.713,78.77
1,2,2,2,2,2,5,5,2,2,1,1,0,1,1,0.37711903157429316,6,2.5,9,4,2.076,1.296,74.36
3,4,4,5,2,2,4,2,2,1,0,1,1,0,1,0.5818291221924146,3,2.9,9,3,0.463,1.057,85.72
3,4,4,3,2,4,1,4,2,2,1,1,1,1,0,0.9767347745494228,6,2.9,9,4,1.318,0.894,99.22
5,5,3,5,3,5,5,2,2,2,1,1,0,1,1,0.3004496125899116,4,3.7,10,4,1.935,1.436,100.0
4,2,2,3,4,2,5,3,2,2,1,1,1,1,1,0.9201220866009401,5,2.9,10,5,0.676,0.66,96.81
2,5,4,2,2,3,4,3,2,1,1,1,1,1,1,0.8544162699808411,5,2.8,9,5,1.205,1.445,100.0
5,5,4,5,4,4,2,5,2,2,1,1,1,1,1,0.9196140136436888,6,3.8,10,5,2.017,1.285,100.0
4,4,3,5,2,1,5,1,0,2,0,1,1,0,1,0.4422047026171778,3,2.7,7,3,0.953,0.166,88.44
2,4,3,1,2,1,5,5,2,2,1,1,1,1,0,0.36618874546437735,4,2.7,8,4,1.044,1.905,88.69
2,5,4,2,1,2,5,2,2,2,0,1,1,1,1,0.954278259507187,4,2.7,9,4,1.426,1.277,96.22
5,4,4,5,4,5,2,4,2,2,1,1,1,1,1,0.4155550214614686,5,3.7,10,5,2.965,0.654,100.0
2,3,5,2,2,4,5,1,2,1,1,1,1,0,1,0.31630374200328526,4,2.7,8,4,0.461,1.125,94.12
3,4,5,5,4,3,2,2,2,2,1,1,1,1,1,0.6291275912421113,5,3.2,10,5,0.871,0.88,100.0
3,2,2,4,2,4,4,5,2,1,1,1,1,1,1,0.31398594696086884,6,2.9,9,5,1.256,1.435,85.11
4,4,5,5,4,2,5,4,2,2,1,1,1,0,1,0.9460603938881222,6,3.7,10,4,0.622,1.12,100.0
2,4,4,2,2,4,2,2,1,2,0,1,1,1,1,0.7153380877879782,4,2.5,9,4,2.967,1.894,86.0
1,4,3,1,1,2,3,3,2,1,0,1,1,0,1,0.6087130367329879,3,2.1,6,3,1.744,0.468,55.45
2,5,4,0,1,2,5,1,2,2,1,1,1,0,0,0.6467104314700893,3,2.4,7,3,0.457,0.323,90.75
2,4,3,2,2,3,4,3,1,2,1,1,1,0,1,0.8750886628472248,4,2.6,9,4,1.327,1.507,92.0
5,2,2,5,4,4,5,2,2,2,1,1,0,1,1,0.4223732591373006,4,3.3,10,4,0.087,0.813,100.0
3,4,4,5,2,1,5,1,1,1,0,1,1,1,1,0.798400718782436,4,2.7,6,4,2.184,1.831,82.98
2,5,5,2,1,3,2,2,2,2,1,1,0,1,1,0.5733394928379647,4,2.6,9,4,1.587,0.067,93.26
2,3,5,2,2,3,4,3,2,2,1,1,0,1,1,0.9431585950876396,6,2.8,10,4,2.421,0.208,97.35
5,2,1,5,2,2,3,3,2,2,1,1,1,0,1,0.9831262145969264,4,2.7,9,4,2.054,0.363,88.3
1,1,0,2,2,4,2,5,2,2,0,1,0,1,1,0.6561551971414369,3,2.1,7,3,2.154,0.527,44.38
1,5,4,2,2,0,5,2,2,2,1,1,1,1,0,0.5833238815320057,4,2.5,8,4,2.57,0.578,87.26
5,5,5,5,4,1,5,3,2,2,0,1,1,1,1,0.7329781655522392,6,3.7,9,4,0.177,0.403,100.0
3,2,2,3,4,2,4,5,2,2,1,0,1,1,1,0.784087902975193,4,2.9,10,4,2.857,0.628,73.86
5,2,2,3,3,4,5,4,2,2,1,1,1,1,1,0.6073682929116632,5,3.2,10,5,0.541,1.513,100.0
2,2,2,2,2,4,2,4,2,2,1,1,1,0,1,0.39667331650812404,4,2.4,10,4,0.711,0.06,85.75
2,5,5,1,2,2,1,5,1,2,1,0,0,1,1,0.7573833684025495,3,2.6,7,3,1.981,1.056,72.93
4,4,5,3,2,5,2,5,2,2,1,1,1,1,1,0.3750475921020984,5,3.4,10,5,0.814,0.715,100.0
4,2,2,5,3,4,2,5,2,2,1,0,1,1,1,0.39900190161810395,6,3.1,10,4,1.098,0.097,86.59
2,4,5,2,2,4,2,5,1,2,1,0,1,1,1,0.913441268578262,4,2.9,9,4,0.488,0.728,97.08
3,2,2,3,3,4,5,5,2,2,1,1,0,1,1,0.7899456525584072,4,3.1,10,4,0.965,1.714,89.21
2,4,3,2,2,4,2,4,2,2,1,1,1,1,1,0.3272711525912862,5,2.7,10,5,0.819,1.99,90.42
2,5,4,1,2,3,1,2,1,1,0,1,1,1,0,0.4915902853443494,3,2.2,6,3,0.473,0.613,77.54
3,5,5,4,4,4,2,5,2,2,0,1,1,1,1,0.6968504309206828,6,3.6,10,4,0.581,0.69,100.0
3,1,2,3,3,2,5,3,2,2,1,1,0,0,1,0.4466029855683821,3,2.6,9,3,0.677,1.558,74.02
5,1,2,3,2,5,4,5,2,2,1,1,1,1,1,0.5160307398265933,5,3.1,9,5,2.993,1.833,95.69
4,5,4,3,2,2,5,2,1,1,1,1,1,1,1,0.8001864687890574,5,2.9,8,5,0.824,1.33,100.0
5,2,1,5,2,3,3,5,2,2,1,1,1,1,1,0.4950971263894379,5,3.0,9,5,1.516,1.772,86.1
2,5,5,2,2,5,5,2,2,2,1,1,1,1,1,0.9148680140308267,6,3.2,10,5,2.131,1.144,100.0
5,5,4,5,4,5,2,2,2,2,1,1,1,1,1,0.6720533122899239,5,3.6,10,5,2.402,1.19,100.0
2,3,3,2,2,5,2,5,2,2,1,1,1,1,0,0.37216962905971696,6,2.8,10,4,0.021,1.71,88.47
1,1,2,2,2,5,4,2,2,2,1,0,1,0,1,0.3324968313443355,6,2.3,8,3,1.574,1.23,73.18
2,5,3,2,2,5,3,3,2,2,1,1,0,1,1,0.6590681153579105,4,2.9,10,4,1.871,0.715,98.63
5,5,4,3,3,4,4,3,2,2,0,1,1,1,1,0.42022720224789445,6,3.5,10,4,1.836,1.507,100.0
5,3,3,4,3,4,2,1,1,1,0,1,0,1,1,0.3279199218992008,3,2.7,7,3,0.682,1.686,74.48
5,2,0,5,4,1,3,2,2,1,0,1,1,1,0,0.7541928537955276,3,2.5,7,3,2.2,0.733,74.67
4,5,5,4,3,2,5,2,2,2,1,0,1,1,1,0.8273167309174219,4,3.4,10,4,1.629,0.515,100.0
5,3,3,3,3,2,3,5,2,2,1,1,0,1,1,0.9408068453690503,4,3.1,10,4,1.218,0.81,100.0
2,4,3,2,2,5,5,3,1,1,1,1,1,1,1,0.9694379580513925,5,2.8,8,5,2.626,1.65,100.0
2,5,5,1,2,5,4,2,1,2,1,0,1,1,1,0.5348121481644827,4,2.9,8,4,0.037,1.264,100.0
5,5,4,4,2,3,3,5,2,1,1,0,0,1,0,0.44264667966271065,6,3.4,9,2,2.74,1.506,86.89
2,2,1,2,2,5,2,5,2,2,1,1,1,1,1,0.6188716343329406,5,2.5,9,5,2.791,1.124,74.72
2,3,3,1,2,1,5,3,1,2,1,0,0,1,1,0.43211278804007375,3,2.3,7,3,2.182,0.937,73.04
3,4,5,4,2,2,2,3,2,2,1,1,0,0,1,0.3904149372716785,3,2.9,10,3,2.436,1.637,85.45
3,4,3,3,2,5,2,2,1,1,1,1,1,0,0,0.8573041310534792,3,2.6,8,3,0.424,1.037,83.86
2,4,4,2,2,5,2,4,0,1,1,0,1,1,1,0.4784306326617993,4,2.6,8,4,0.514,1.014,95.47
3,1,2,3,4,3,5,2,1,2,1,1,1,0,0,0.9406720432212663,3,2.6,8,3,0.919,0.396,90.57
2,5,4,1,2,4,5,5,1,2,1,1,1,1,0,0.5330178377898326,4,3.1,8,4,2.011,0.299,100.0
2,5,3,1,2,5,5,5,2,2,1,1,0,1,1,0.5987108597038386,4,3.2,9,4,2.373,1.169,97.47
5,1,1,5,2,1,2,4,2,2,1,1,1,1,1,0.5125608919769082,5,2.5,7,5,1.264,0.36,74.09
3,5,4,4,2,2,2,4,2,2,1,1,0,0,1,0.9383101078669136,3,3.0,10,3,2.398,0.267,85.13
1,1,2,1,1,5,2,5,1,2,1,1,0,1,0,0.5611103369544138,3,2.1,5,3,0.52,1.168,67.33
3,2,2,4,4,5,3,4,2,2,1,1,0,1,1,0.9170942399050674,6,3.1,10,4,1.952,0.645,95.38
2,4,5,2,2,2,5,5,2,2,1,1,1,1,0,0.46777999058878506,4,3.1,10,4,0.159,0.16,100.0
2,5,5,2,1,2,2,5,2,2,0,1,1,1,1,0.7834933691149103,4,2.8,9,4,0.397,0.228,94.02
2,2,2,2,2,5,2,4,2,2,0,1,1,0,1,0.510173676040511,3,2.5,10,3,0.606,0.701,74.73
4,5,4,3,4,5,2,2,2,2,1,1,1,1,1,0.7069848834046214,5,3.3,10,5,1.541,1.109,100.0
3,4,3,5,4,4,2,4,1,1,1,1,1,0,1,0.9765333684818687,4,3.1,8,4,1.766,1.035,89.64
2,5,4,2,2,4,3,2,1,2,0,1,1,0,1,0.716210353511969,3,2.7,9,3,2.394,1.554,76.12
2,4,3,1,2,2,3,4,2,1,0,1,1,0,1,0.7160259913511262,3,2.4,8,3,0.443,1.632,73.36
3,5,5,3,4,3,4,2,2,2,1,1,1,1,1,0.6774613903589741,5,3.3,10,5,2.482,0.673,100.0
5,4,5,5,4,5,2,5,2,2,1,1,1,1,1,0.3930482356838994,5,3.9,10,5,2.635,1.677,100.0
5,3,5,5,4,5,5,2,2,2,1,1,1,1,0,0.3955291151798823,6,3.8,10,4,2.756,0.101,100.0
4,3,4,5,2,1,2,1,2,2,1,0,0,1,1,0.6762762043947395,3,2.6,8,3,1.915,0.279,75.99
3,1,2,3,4,5,3,2,2,1,1,0,1,1,0,0.539193006703543,3,2.6,8,3,0.199,0.636,81.75
4,5,5,5,4,2,1,5,2,1,1,1,1,1,1,0.9241030434368322,5,3.4,8,5,1.957,1.205,99.78
1,2,1,1,2,3,3,5,2,2,1,0,1,1,0,0.887851336699327,3,2.2,7,3,0.408,0.39,70.65
3,4,4,4,3,1,3,4,2,2,0,1,1,0,1,0.35256256644323364,6,3.0,9,3,1.262,1.337,86.79
3,2,1,3,3,2,5,2,2,2,1,1,0,1,1,0.32613432699091083,4,2.5,9,4,0.084,0.923,88.3
2,2,2,2,2,5,3,5,2,2,1,1,1,1,1,0.8940308474034457,5,2.7,10,5,1.048,1.419,91.49
3,4,4,3,3,3,3,2,2,2,1,1,1,1,1,0.8089354537180236,5,2.9,10,5,1.485,1.378,99.56
3,5,4,4,2,5,4,2,2,2,1,1,1,0,1,0.5232042046472667,6,3.3,10,4,0.4,1.202,100.0
4,1,1,5,4,1,4,2,2,1,1,1,1,1,1,0.9416619721370139,5,2.5,6,5,1.797,0.777,80.01
5,5,5,5,3,2,2,5,2,2,0,1,1,1,0,0.6256731349436804,6,3.6,10,3,2.605,1.47,85.09
2,2,1,1,2,3,4,5,2,1,1,1,1,1,1,0.9782824322687287,5,2.3,7,5,1.346,0.089,82.52
3,2,2,3,2,5,3,5,1,1,1,1,0,1,1,0.35498147468272007,4,2.7,8,4,0.48,0.762,78.92
2,5,5,2,2,4,4,3,2,1,0,1,0,1,1,0.48716774215633074,6,3.0,9,3,0.28,0.788,96.81
4,2,0,4,4,2,2,5,0,1,0,1,0,1,1,0.3087746467749325,3,2.4,7,3,2.729,1.284,57.48
4,4,3,4,2,4,2,2,2,2,1,1,1,1,0,0.851630823588817,4,2.9,10,4,1.273,0.665,100.0
3,2,2,5,4,2,4,3,2,2,0,1,1,1,1,0.9246639727695967,4,2.9,10,4,2.454,0.913,84.3
5,4,5,4,4,2,4,1,1,1,1,1,1,1,1,0.368799199099573,5,3.1,7,5,2.931,0.029,92.41
3,3,5,3,3,5,2,1,2,2,1,1,0,0,1,0.7137579753263992,3,2.9,9,3,2.73,1.356,85.14
4,3,4,3,3,1,2,4,1,2,1,1,1,0,0,0.803477093495566,3,2.7,8,3,2.275,1.693,84.27
2,2,2,1,0,3,3,5,2,2,1,1,1,0,0,0.3740745268931663,3,2.2,8,3,1.505,0.385,69.22
4,4,5,5,4,2,5,2,2,2,1,1,1,1,1,0.3976564430703445,5,3.5,10,5,1.011,0.467,100.0
2,5,5,2,2,4,5,2,2,1,1,1,1,1,1,0.4080935996155636,5,3.0,9,5,0.372,1.853,100.0
4,4,4,3,4,5,4,2,2,2,1,0,1,1,1,0.4895778041128297,6,3.4,10,4,2.125,0.988,100.0
5,1,2,3,3,2,5,3,2,2,0,1,1,1,1,0.47413166656454747,4,2.8,9,4,2.854,1.122,77.91
5,3,3,3,4,2,5,4,2,2,1,1,1,1,1,0.3038508218278591,5,3.3,10,5,2.154,0.487,100.0
4,5,4,3,2,1,4,4,2,2,1,1,1,1,1,0.558399877527938,5,3.1,9,5,1.288,0.25,100.0
5,4,4,4,3,2,2,5,2,2,1,1,1,1,0,0.821980054471156,4,3.3,10,4,0.815,0.362,100.0
2,5,5,2,2,3,5,2,2,2,0,1,1,0,1,0.61537819907125,6,3.0,10,3,1.997,0.261,94.77
2,4,4,1,1,5,2,2,2,2,0,1,0,1,1,0.8990658814236778,3,2.5,8,3,2.864,0.386,80.14
4,4,5,4,3,5,4,3,2,2,1,1,0,1,0,0.5407357368254446,6,3.6,10,3,0.017,1.964,100.0
5,5,4,5,4,5,5,1,2,2,1,0,1,1,1,0.9153678154339193,6,3.8,9,4,0.591,1.574,100.0
2,2,2,2,1,3,5,5,2,2,1,1,1,1,1,0.9394798538470925,5,2.6,9,5,2.392,0.233,86.31
2,2,2,2,1,5,2,4,2,2,1,1,1,0,1,0.49375492078225197,6,2.4,9,4,1.279,0.423,80.29
2,3,3,2,2,5,2,2,2,2,1,1,1,1,0,0.839064777271362,4,2.5,10,4,2.691,1.647,79.78
3,2,2,3,4,2,3,5,2,2,1,1,0,1,1,0.8988035827459027,4,2.8,10,4,2.695,0.78,76.69
2,3,5,2,2,4,2,2,1,2,1,1,1,1,1,0.393943938693755,5,2.5,9,5,0.029,0.868,100.0
2,5,3,2,1,4,4,2,2,2,1,1,1,0,1,0.4489541144290576,4,2.7,9,4,0.541,1.563,100.0
1,4,3,1,1,2,4,1,2,2,1,0,0,1,1,0.9999839142923859,3,2.1,6,3,2.287,0.216,76.2
3,2,2,3,3,5,2,5,2,2,1,1,1,1,1,0.3609905184330212,5,2.9,10,5,1.174,0.091,93.15
2,3,4,2,2,5,2,2,2,2,1,0,1,1,0,0.5093973637364775,3,2.6,10,3,0.965,1.708,82.53
4,5,4,4,3,5,2,5,2,2,1,0,1,0,1,0.7017044165153772,6,3.6,10,3,2.692,1.971,96.82
4,3,5,4,2,2,4,2,2,2,0,1,0,1,1,0.6562119218630177,3,3.0,10,3,2.106,1.774,93.84
4,5,3,3,3,4,4,2,2,1,0,1,1,1,1,0.6700213185829853,6,3.1,9,4,0.796,1.927,100.0
2,2,2,2,2,4,5,5,2,1,1,1,1,1,1,0.4915821032710092,5,2.7,9,5,0.136,1.08,100.0
2,2,1,2,1,4,2,2,2,1,1,1,1,0,0,0.6083541826170822,3,1.9,7,3,1.523,0.916,68.65
4,1,2,5,4,3,4,2,2,2,0,1,1,1,0,0.3027047176391957,3,2.9,9,3,2.183,0.755,77.57
2,5,5,2,2,2,3,5,2,1,1,1,1,1,1,0.45597387649471294,5,2.9,9,5,2.058,1.562,97.39
2,3,5,2,1,5,5,2,2,2,1,1,1,0,1,0.48251519842970025,4,2.9,9,4,2.156,1.483,86.62
3,2,2,4,2,5,5,3,2,2,1,0,1,1,1,0.32058672183622094,6,3.0,10,4,0.988,1.417,95.7
5,2,2,4,3,4,4,2,1,2,1,1,1,0,1,0.9303365225541447,4,2.9,9,4,2.941,1.77,98.93
5,3,4,5,3,2,2,4,2,2,1,1,0,1,1,0.7837750256986289,6,3.2,10,4,2.13,0.322,100.0
2,2,2,2,2,5,5,2,2,1,1,1,0,1,1,0.33885254032599754,4,2.5,9,4,1.017,0.271,81.32
5,2,2,5,4,4,3,2,2,2,1,1,1,0,1,0.41923594926431323,6,3.1,10,4,1.232,1.681,93.17
2,4,4,2,2,3,2,5,2,2,1,1,0,1,1,0.6143882864758505,4,2.8,10,4,2.954,0.977,82.47
5,4,4,4,3,3,5,5,2,2,0,1,1,1,0,0.8077831572468328,6,3.7,10,3,1.129,1.157,98.16
